,Gender,Organizes activities with his friends,What are your strengths among these,What activity do you do most frequently?,have difficulty understanding what you have read?,FavoriteSubject,FavoriteGame,IntelligenceType
203,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Puzzle games or strategy games,Kinesthetic
948,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Kinesthetic
81,Female,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Pet simulator,Spatial
3252,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
698,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
703,Male,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Building games or maze games or drawing guess games,Logico Math̩matique
4945,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Building games or maze games or drawing guess games,Spatial
4458,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
1604,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,foreign languages,Guess the song games,Logico Math̩matique
4001,Male,Perform scientific experiments,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
4749,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Logico Math̩matique
1614,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
2581,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
3678,Female,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Arts,Pet simulator,Naturalistic
466,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Music,Sports games,Spatial
1840,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Dancer or Athlete or Build,Maths,Sports games,Intra Personnelle
4329,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
2321,Female,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,writer,Maths,Individual games,Logico Math̩matique
962,Male,Draws or scribbles drawings and looks at pictures, has the ability to easily recognize birds plants and trees,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Biology and Earth,Board games or card games,Logico Math̩matique
3196,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Dancer or Athlete or Build,Arts,Sports games,Kinesthetic
3459,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Maths,Sports games,Musical
1548,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
2174,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Arts,Puzzle games or strategy games,Musical
341,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Building games or maze games or drawing guess games,Kinesthetic
4277,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,foreign languages,Building games or maze games or drawing guess games,Linguistic
1121,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Arts,Sports games,Spatial
4736,Male,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Biology and Earth,Building games or maze games or drawing guess games,Linguistic
3545,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
4449,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Maths,Individual games,Inter Personnelle
4396,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,reacts strongly to controversial opinions,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
4150,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Individual games,Kinesthetic
2722,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Dancer or Athlete or Build,Biology and Earth,Board games or card games,Inter Personnelle
3476,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Mathematics teacher or engineer,Arts,Sports games,Kinesthetic
4009,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Physical education,Board games or card games,Inter Personnelle
4062,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Spatial
4729,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Mathematics teacher or engineer,Physical education,Building games or maze games or drawing guess games,Spatial
2469,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Psychiatrist or Salesman or Counselor,Music,Sports games,Intra Personnelle
4209,Male,Organizes activities with his friends,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Gardener or Biologist,Biology and Earth,Pet simulator,Naturalistic
363,Male,Invent write and tell stories,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,foreign languages,Sports games,Linguistic
1208,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Arts,Individual games,Kinesthetic
3295,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
1647,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Artist or Architect,Maths,Sports games,Intra Personnelle
3130,Male,Organizes activities with his friends, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Maths,Board games or card games,Logico Math̩matique
33,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
1875,Female,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Psychiatrist or Salesman or Counselor,Biology and Earth,Board games or card games,Naturalistic
2153,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Maths,Board games or card games,Inter Personnelle
3178,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
3123,Female,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
829,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Kinesthetic
3320,Female,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
4968,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,reacts strongly to controversial opinions,Journalist or lawyer,Maths,Individual games,Intra Personnelle
1172,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Mathematics teacher or engineer,Biology and Earth,Board games or card games,Inter Personnelle
1046,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,Physical education,Building games or maze games or drawing guess games,Spatial
1352,Female,Perform scientific experiments,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Puzzle games or strategy games,Logico Math̩matique
3930,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Spatial
4705,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Sports games,Spatial
671,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,foreign languages,Building games or maze games or drawing guess games,Musical
1700,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
3014,Female,Organizes activities with his friends,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,foreign languages,Board games or card games,Inter Personnelle
2478,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Sports games,Spatial
3862,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4040,Male,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
4742,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Music,Individual games,Intra Personnelle
4545,Female,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4723,Male,Draws or scribbles drawings and looks at pictures,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Maths,Pet simulator,Logico Math̩matique
3680,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
831,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Music,Individual games,Musical
146,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Music,Guess the song games,Musical
2426,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,Participate in social or sports clubs,Dancer or Athlete or Build,Physical education,Individual games,Intra Personnelle
4257,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Biology and Earth,Sports games,Spatial
1962,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
654,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,expresses himself with a rich vocabulary,reacts strongly to controversial opinions,Gardener or Biologist,Maths,Sports games,Intra Personnelle
479,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,Participate in social or sports clubs,Artist or Architect,Maths,Building games or maze games or drawing guess games,Inter Personnelle
870,Female,Organizes activities with his friends,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
3392,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Arts,Board games or card games,Logico Math̩matique
2217,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Sports games,Spatial
3221,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Musical
1894,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Biology and Earth,Building games or maze games or drawing guess games,Musical
2936,Male,Gather and disassemble things,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Maths,Individual games,Linguistic
4268,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
2011,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
1824,Female,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
4815,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
4024,Male,Perform scientific experiments,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Arts,Building games or maze games or drawing guess games,Spatial
2415,Male,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Mathematics teacher or engineer,Music,Pet simulator,Naturalistic
3366,Male,Organizes activities with his friends,easily talks to people he does not know and easily perceives their feelings,do sport activities regularly and continuously,Mathematics teacher or engineer,Physical education,Puzzle games or strategy games,Logico Math̩matique
2389,Female,Spend a lot of time outdoors and identifie plants and animals or insects,Easily remember the rhythm or music of commercials,intereste in the environment in his daily actions and learns new things about nature,Gardener or Biologist,Maths,Pet simulator,Naturalistic
4529,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Kinesthetic
4959,Male,Organizes activities with his friends,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,foreign languages,Pet simulator,Linguistic
4258,Male,Invent write and tell stories,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,Physical education,Board games or card games,Linguistic
2584,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Arts,Sports games,Spatial
800,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
598,Male,Listen to music or plays an instrument,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Physical education,Sports games,Kinesthetic
2422,Female,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Sports games,Logico Math̩matique
4864,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Maths,Individual games,Logico Math̩matique
738,Female,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Biology and Earth,Guess the song games,Musical
1767,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Biology and Earth,Building games or maze games or drawing guess games,Musical
4712,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Sports games,Logico Math̩matique
3208,Female,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
4632,Female,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,Participate in social or sports clubs,Mathematics teacher or engineer,Biology and Earth,Individual games,Logico Math̩matique
4357,Male,Gather and disassemble things, has the ability to easily recognize birds plants and trees,reacts strongly to controversial opinions,Dancer or Athlete or Build,Biology and Earth,Building games or maze games or drawing guess games,Kinesthetic
302,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Journalist or lawyer,Biology and Earth,Building games or maze games or drawing guess games,Spatial
3384,Male,Spend a lot of time outdoors and identifie plants and animals or insects,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Gardener or Biologist,Arts,Pet simulator,Naturalistic
4489,Male,Gather and disassemble things,decides for himself what he think to do and tracks his personal interests alone,do sport activities regularly and continuously,Artist or Architect,Physical education,Sports games,Kinesthetic
2824,Male,Organizes activities with his friends,decides for himself what he think to do and tracks his personal interests alone,watches movies and views pictures a lot,Dancer or Athlete or Build,Maths,Board games or card games,Inter Personnelle
3600,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Arts,Individual games,Intra Personnelle
1082,Female,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Singer or Music Teacher,Biology and Earth,Individual games,Intra Personnelle
4918,Female,Perform scientific experiments,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Biology and Earth,Puzzle games or strategy games,Logico Math̩matique
3609,Male,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
691,Female,Invent write and tell stories,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
4125,Female,Gather and disassemble things,expresses himself with a rich vocabulary,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,foreign languages,Sports games,Kinesthetic
3521,Male,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Physical education,Puzzle games or strategy games,Logico Math̩matique
4072,Male,Gather and disassemble things,easily talks to people he does not know and easily perceives their feelings,reacts strongly to controversial opinions,Mathematics teacher or engineer,Maths,Puzzle games or strategy games,Logico Math̩matique
3552,Male,Draws or scribbles drawings and looks at pictures,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Music,Sports games,Spatial
4725,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Sports games,Musical
2281,Male,Gather and disassemble things,expresses himself with a rich vocabulary,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,foreign languages,Sports games,Linguistic
3455,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Gardener or Biologist,Physical education,Pet simulator,Kinesthetic
394,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Dancer or Athlete or Build,Biology and Earth,Sports games,Musical
3359,Male,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
4550,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Spatial
636,Male,Writes his diary or expresses his feelings in poems or only practices certain hobbies,decides for himself what he think to do and tracks his personal interests alone,reacts strongly to controversial opinions,Journalist or lawyer,Arts,Sports games,Intra Personnelle
4162,Female,Draws or scribbles drawings and looks at pictures,expresses himself with a rich vocabulary,reacts strongly to controversial opinions,Artist or Architect,Maths,Building games or maze games or drawing guess games,Spatial
3394,Female,Listen to music or plays an instrument,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Singer or Music Teacher,Maths,Guess the song games,Logico Math̩matique
807,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Mathematics teacher or engineer,Biology and Earth,Individual games,Logico Math̩matique
640,Female,Perform scientific experiments,Has a good sense of coordination and is skilled in many sporting or physical activities,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Puzzle games or strategy games,Logico Math̩matique
1052,Female,Draws or scribbles drawings and looks at pictures,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Spatial
2732,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Artist or Architect,Biology and Earth,Building games or maze games or drawing guess games,Spatial
2111,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Maths,Sports games,Logico Math̩matique
3610,Female,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Gardener or Biologist,Biology and Earth,Pet simulator,Naturalistic
1122,Male,Gather and disassemble things,solve complex problems easily and have the ability to do mental math quickly,watches movies and views pictures a lot,Mathematics teacher or engineer,Maths,Individual games,Logico Math̩matique
2770,Male,Gather and disassemble things,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Dancer or Athlete or Build,Physical education,Sports games,Kinesthetic
849,Male,Gather and disassemble things,Easily remember the rhythm or music of commercials,watches movies and views pictures a lot,Psychiatrist or Salesman or Counselor,Music,Board games or card games,Musical
4775,Male,Spend a lot of time outdoors and identifie plants and animals or insects, has the ability to easily recognize birds plants and trees,intereste in the environment in his daily actions and learns new things about nature,Dancer or Athlete or Build,Biology and Earth,Sports games,Naturalistic
737,Female,Invent write and tell stories,expresses himself with a rich vocabulary,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,foreign languages,Sports games,Linguistic
391,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Music,Building games or maze games or drawing guess games,Musical
3986,Female,Gather and disassemble things,Easily remember the rhythm or music of commercials,asks a lot of questions about how things work or about the causes of a phenomenon or event,Gardener or Biologist,foreign languages,Puzzle games or strategy games,Logico Math̩matique
4445,Male,Gather and disassemble things,Has a good sense of coordination and is skilled in many sporting or physical activities,do sport activities regularly and continuously,Psychiatrist or Salesman or Counselor,Physical education,Puzzle games or strategy games,Kinesthetic
3885,Female,Invent write and tell stories,decides for himself what he think to do and tracks his personal interests alone,asks a lot of questions about how things work or about the causes of a phenomenon or event,Psychiatrist or Salesman or Counselor,Maths,Building games or maze games or drawing guess games,Logico Math̩matique
2545,Male,Listen to music or plays an instrument,decides for himself what he think to do and tracks his personal interests alone,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Physical education,Guess the song games,Musical
4564,Female,Listen to music or plays an instrument, has the ability to easily recognize birds plants and trees,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,Arts,Building games or maze games or drawing guess games,Spatial
1830,Male,Draws or scribbles drawings and looks at pictures,easily talks to people he does not know and easily perceives their feelings,asks a lot of questions about how things work or about the causes of a phenomenon or event,Mathematics teacher or engineer,Music,Sports games,Logico Math̩matique
2893,Female,Draws or scribbles drawings and looks at pictures,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Psychiatrist or Salesman or Counselor,foreign languages,Building games or maze games or drawing guess games,Spatial
1091,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Mathematics teacher or engineer,Music,Building games or maze games or drawing guess games,Musical
42,Male,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Artist or Architect,Physical education,Building games or maze games or drawing guess games,Musical
228,Female,Listen to music or plays an instrument,Easily remember the rhythm or music of commercials,listens to many styles of music often and repeats the song aloud,Singer or Music Teacher,Biology and Earth,Guess the song games,Musical
