,He likes to be part of a team and enjoy collective activities,It's fun to be with others more than to be alone,Likes to help others,Loves to share his knowledge,It is important for him to follow his own way,He likes to try new things,He do not like to follow the rules,He likes to change things by himself,It is important for him that is always his duties in full,He likes to defeat obstacles,He loves competitions where they can win a prize,If sufficient reward will strive,Playertype
426,Does not like,Likes,neutral,neutral,neutral,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Does not like,type_socializer
668,neutral,neutral,neutral,neutral,neutral,neutral,neutral,Does not like,Does not like,neutral,Likes,Does not like,type_socializer
1493,neutral,Does not like,Likes,Does not like,Likes,Likes,Does not like,neutral,neutral,neutral,neutral,Likes,type_freeSpirit
2607,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,Likes,neutral,Does not like,Likes,type_achiever
1354,Does not like,Does not like,Does not like,Likes,Does not like,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,type_achiever
2065,neutral,Likes,Does not like,neutral,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,neutral,type_socializer
1119,neutral,neutral,neutral,neutral,Likes,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,type_disruptor
234,Likes,neutral,Does not like,Does not like,Likes,neutral,Does not like,Likes,Does not like,neutral,Likes,Does not like,type_socializer
1875,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,neutral,type_achiever
2652,Likes,Likes,Likes,Likes,Does not like,Likes,Does not like,Likes,neutral,Does not like,Likes,Does not like,type_socializer
3944,Likes,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,Likes,type_disruptor
3965,Does not like,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Does not like,neutral,neutral,Likes,type_philanthropist
243,Likes,neutral,Does not like,Likes,Likes,Likes,neutral,Likes,Likes,Likes,neutral,Does not like,type_achiever
2689,neutral,Does not like,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,type_achiever
4536,neutral,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,neutral,Does not like,Does not like,neutral,type_philanthropist
1535,Does not like,Likes,neutral,Does not like,neutral,Likes,Likes,Likes,Likes,Likes,Does not like,Likes,type_achiever
2072,Likes,Likes,neutral,neutral,neutral,Likes,Does not like,Does not like,neutral,Does not like,neutral,Does not like,type_socializer
2159,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,neutral,neutral,type_socializer
2977,Likes,Likes,neutral,neutral,Does not like,Likes,neutral,Likes,Likes,neutral,neutral,neutral,type_socializer
3685,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,Does not like,Likes,neutral,Does not like,Does not like,type_achiever
720,Does not like,Does not like,Does not like,Likes,Does not like,Does not like,neutral,Likes,Likes,Likes,Likes,Does not like,type_achiever
642,Likes,neutral,Does not like,Likes,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,type_socializer
696,Does not like,Likes,Likes,Does not like,neutral,Likes,neutral,Does not like,Does not like,Does not like,Likes,Likes,type_player
4835,neutral,Does not like,Does not like,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,Likes,neutral,type_disruptor
4065,neutral,Likes,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,Likes,Does not like,neutral,type_socializer
4829,Does not like,Does not like,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,type_disruptor
351,Does not like,Does not like,Does not like,Does not like,neutral,Does not like,neutral,neutral,Likes,Likes,Likes,Likes,type_achiever
3761,neutral,Likes,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,Likes,Does not like,neutral,type_achiever
685,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,Likes,Likes,neutral,type_achiever
1961,Does not like,Likes,Likes,neutral,neutral,neutral,Likes,neutral,neutral,neutral,neutral,Likes,type_disruptor
1375,Does not like,Does not like,Likes,Does not like,Likes,neutral,neutral,Likes,Likes,Likes,Does not like,Does not like,type_achiever
2729,Likes,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,Likes,Likes,Likes,Does not like,type_achiever
4224,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,Does not like,Likes,Likes,Likes,type_player
3719,Does not like,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,Does not like,Likes,neutral,type_disruptor
571,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,Does not like,Does not like,Does not like,Does not like,type_disruptor
2079,Does not like,Does not like,Likes,neutral,Does not like,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,type_achiever
3665,Does not like,Does not like,Likes,neutral,Likes,Likes,neutral,Likes,Does not like,Likes,Does not like,Likes,type_freeSpirit
2093,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,type_disruptor
897,neutral,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,Does not like,Does not like,type_philanthropist
745,neutral,Does not like,neutral,neutral,neutral,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,type_player
2443,Likes,neutral,neutral,Does not like,Likes,Likes,Does not like,neutral,Likes,neutral,Does not like,neutral,type_freeSpirit
2813,neutral,Does not like,Does not like,Does not like,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,Does not like,type_disruptor
895,Does not like,neutral,Does not like,neutral,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,type_achiever
2753,Does not like,neutral,neutral,Does not like,Likes,neutral,Does not like,Does not like,neutral,Likes,Likes,Does not like,type_achiever
383,Likes,Likes,neutral,neutral,Does not like,Does not like,Does not like,Likes,neutral,Does not like,neutral,Does not like,type_socializer
495,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,neutral,neutral,Likes,type_player
1607,Does not like,Likes,Does not like,neutral,neutral,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,type_achiever
4617,Does not like,Likes,Does not like,neutral,Likes,Likes,Does not like,Likes,neutral,Likes,neutral,Likes,type_freeSpirit
3726,Likes,Does not like,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Does not like,Does not like,neutral,type_philanthropist
586,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Does not like,neutral,type_achiever
1661,neutral,neutral,Does not like,Does not like,neutral,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,type_freeSpirit
60,Likes,neutral,neutral,Likes,Likes,Likes,Does not like,Does not like,Does not like,Likes,neutral,Does not like,type_freeSpirit
1730,Does not like,neutral,Does not like,neutral,Likes,Likes,neutral,Does not like,neutral,Likes,neutral,Likes,type_freeSpirit
2814,Does not like,Likes,Does not like,Does not like,neutral,Likes,Does not like,Does not like,Likes,neutral,neutral,neutral,type_achiever
111,neutral,Likes,neutral,Likes,neutral,Does not like,Likes,neutral,neutral,Does not like,neutral,neutral,type_socializer
3663,Does not like,neutral,Does not like,Does not like,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,neutral,type_disruptor
2773,neutral,neutral,neutral,Does not like,Does not like,Likes,Does not like,Does not like,neutral,neutral,Likes,Does not like,type_socializer
4347,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Does not like,Likes,neutral,Likes,neutral,Does not like,type_achiever
2701,Does not like,Likes,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,Likes,Likes,neutral,type_freeSpirit
3719,Does not like,Likes,Likes,neutral,Does not like,Likes,neutral,Likes,neutral,Does not like,Likes,neutral,type_disruptor
4524,Likes,Does not like,Likes,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,Likes,Does not like,type_freeSpirit
697,neutral,Does not like,neutral,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Likes,Does not like,type_freeSpirit
3174,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,Does not like,neutral,neutral,neutral,Likes,type_player
2697,Does not like,Likes,Does not like,Does not like,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,Likes,type_achiever
2976,neutral,Likes,Likes,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,Likes,Does not like,type_philanthropist
4241,neutral,Likes,neutral,neutral,Likes,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,type_socializer
2472,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Does not like,Likes,Does not like,Likes,neutral,type_philanthropist
4250,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Does not like,Likes,Likes,Does not like,Likes,Does not like,type_achiever
2047,Likes,Does not like,Does not like,Likes,Likes,Does not like,Likes,Likes,Does not like,Likes,neutral,neutral,type_disruptor
2229,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,type_disruptor
276,Likes,Does not like,Does not like,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,neutral,neutral,type_socializer
3611,Does not like,Does not like,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,neutral,Does not like,Likes,type_disruptor
586,Does not like,Likes,Does not like,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Does not like,neutral,type_achiever
4600,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,neutral,Likes,Likes,neutral,Likes,type_achiever
3080,neutral,Does not like,neutral,Likes,neutral,Does not like,Likes,neutral,neutral,neutral,neutral,Likes,type_disruptor
3612,Does not like,Does not like,neutral,Likes,neutral,neutral,Likes,neutral,Does not like,Does not like,Does not like,neutral,type_disruptor
1299,Likes,Likes,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,Does not like,Does not like,neutral,type_socializer
2349,Likes,Does not like,Likes,neutral,Does not like,Likes,neutral,Likes,Likes,Does not like,Likes,Does not like,type_disruptor
2876,neutral,neutral,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,neutral,neutral,Does not like,type_philanthropist
4314,neutral,Does not like,Likes,Likes,Likes,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,type_philanthropist
2276,Likes,neutral,Does not like,neutral,Does not like,Does not like,neutral,Does not like,Likes,neutral,Likes,Does not like,type_socializer
3781,neutral,Likes,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,Does not like,Does not like,neutral,type_socializer
4125,Does not like,Likes,neutral,Likes,Does not like,Does not like,Likes,Likes,Does not like,neutral,neutral,Does not like,type_disruptor
3259,Likes,neutral,Likes,neutral,Likes,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,type_disruptor
1336,Likes,neutral,Likes,Does not like,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,neutral,type_socializer
1251,Likes,neutral,neutral,neutral,neutral,neutral,neutral,Likes,Does not like,Likes,neutral,neutral,type_socializer
3055,Likes,Does not like,Likes,Likes,Does not like,Does not like,Does not like,Likes,neutral,Likes,Likes,Likes,type_player
4954,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,type_socializer
4409,neutral,Does not like,neutral,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Does not like,Likes,type_freeSpirit
1071,Does not like,Does not like,neutral,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,type_achiever
4411,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,neutral,Does not like,neutral,Likes,neutral,type_socializer
3846,Likes,neutral,neutral,Likes,Does not like,neutral,neutral,Does not like,Likes,neutral,neutral,Does not like,type_socializer
1513,Likes,Likes,Does not like,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Does not like,type_socializer
327,neutral,neutral,Likes,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Does not like,type_philanthropist
4329,neutral,Does not like,Likes,neutral,neutral,Likes,Likes,neutral,Likes,Does not like,Does not like,Does not like,type_disruptor
4502,neutral,Likes,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,Likes,Likes,Likes,type_player
2995,neutral,neutral,Likes,neutral,neutral,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,type_achiever
180,Does not like,Does not like,Likes,Likes,neutral,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,type_philanthropist
528,Likes,Likes,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,Likes,type_socializer
828,neutral,neutral,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Does not like,type_socializer
653,Does not like,neutral,Likes,Does not like,Does not like,Likes,Does not like,Likes,Does not like,neutral,Likes,Likes,type_player
2488,neutral,Likes,Likes,neutral,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,Does not like,type_socializer
1147,neutral,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,Likes,Likes,type_achiever
2503,neutral,Does not like,Does not like,Does not like,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Likes,type_disruptor
2632,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Likes,Does not like,Likes,Likes,neutral,Does not like,type_achiever
2768,neutral,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,neutral,type_disruptor
3669,Does not like,Likes,Likes,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,Likes,type_player
2871,Likes,Does not like,neutral,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,Does not like,Does not like,type_achiever
3442,neutral,neutral,neutral,neutral,Likes,Does not like,neutral,Likes,Likes,Does not like,Does not like,Likes,type_disruptor
4404,Likes,Does not like,Does not like,Does not like,Does not like,Does not like,Likes,neutral,Does not like,neutral,neutral,neutral,type_disruptor
2995,neutral,neutral,Likes,neutral,neutral,Does not like,neutral,Likes,neutral,Likes,neutral,Does not like,type_achiever
4327,Does not like,Likes,Does not like,neutral,Does not like,neutral,neutral,Likes,Does not like,Likes,Likes,Does not like,type_disruptor
2884,Likes,Does not like,Likes,Likes,neutral,Likes,Likes,Likes,Likes,neutral,Does not like,Likes,type_disruptor
1103,Does not like,neutral,Does not like,Likes,Likes,neutral,Does not like,Does not like,Likes,Does not like,neutral,neutral,type_freeSpirit
3799,neutral,Likes,Likes,Likes,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,Does not like,type_philanthropist
2252,Likes,Likes,neutral,Likes,neutral,neutral,neutral,Does not like,neutral,Likes,neutral,Does not like,type_socializer
3160,Likes,neutral,Likes,neutral,Likes,Likes,Does not like,Does not like,Likes,Does not like,neutral,Likes,type_freeSpirit
2828,Likes,neutral,neutral,Does not like,Does not like,Does not like,Likes,Likes,Does not like,Does not like,neutral,neutral,type_disruptor
3966,Likes,Likes,Likes,Does not like,Likes,Does not like,neutral,neutral,neutral,neutral,Does not like,neutral,type_socializer
403,neutral,Likes,Does not like,Does not like,neutral,Likes,Likes,neutral,neutral,Likes,neutral,Likes,type_socializer
4047,neutral,Likes,Does not like,Likes,neutral,Likes,Likes,neutral,Does not like,neutral,Does not like,Does not like,type_socializer
2891,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,Does not like,Does not like,Likes,neutral,type_player
3169,neutral,Does not like,Likes,neutral,Likes,Likes,Does not like,neutral,neutral,Likes,neutral,Does not like,type_freeSpirit
4654,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Likes,neutral,Does not like,neutral,Does not like,type_disruptor
3845,Does not like,Does not like,Likes,Likes,Likes,neutral,Does not like,Likes,Likes,Does not like,neutral,neutral,type_philanthropist
4014,Does not like,Likes,Does not like,Likes,Does not like,Likes,neutral,Does not like,Likes,neutral,neutral,Likes,type_achiever
654,Does not like,neutral,Does not like,neutral,Likes,Does not like,neutral,Likes,Does not like,Does not like,Does not like,neutral,type_disruptor
773,Likes,Does not like,neutral,Does not like,Likes,Likes,Does not like,neutral,neutral,neutral,neutral,neutral,type_freeSpirit
176,Likes,Likes,Does not like,Likes,neutral,neutral,Does not like,Does not like,Likes,neutral,Likes,Likes,type_socializer
3886,neutral,neutral,neutral,neutral,Does not like,neutral,neutral,neutral,Does not like,Likes,neutral,neutral,type_socializer
1869,neutral,Likes,neutral,Does not like,Does not like,Likes,Likes,Does not like,Does not like,Likes,Likes,Likes,type_player
584,Likes,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,Does not like,neutral,type_disruptor
3827,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Likes,neutral,Does not like,Does not like,Does not like,Likes,type_disruptor
3491,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,Likes,neutral,Likes,Likes,neutral,type_disruptor
2161,neutral,neutral,Likes,neutral,neutral,Does not like,neutral,neutral,neutral,Does not like,neutral,Does not like,type_philanthropist
910,Likes,Likes,neutral,Likes,Likes,neutral,neutral,neutral,neutral,neutral,neutral,neutral,type_socializer
2927,Likes,neutral,Likes,Likes,neutral,Likes,Likes,Likes,Does not like,Does not like,Does not like,Does not like,type_disruptor
3046,Does not like,neutral,Does not like,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,Likes,Does not like,type_disruptor
2071,Does not like,Likes,Does not like,Does not like,Likes,neutral,neutral,Likes,neutral,neutral,neutral,neutral,type_disruptor
321,Likes,neutral,neutral,neutral,Likes,Does not like,neutral,Does not like,Likes,Does not like,Likes,neutral,type_socializer
4009,Does not like,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,neutral,Likes,neutral,neutral,type_achiever
2588,Does not like,Likes,neutral,Does not like,neutral,Likes,neutral,Does not like,Does not like,Likes,Does not like,neutral,type_freeSpirit
4866,Does not like,Likes,Likes,Likes,neutral,Does not like,neutral,Likes,Likes,Likes,Does not like,Likes,type_achiever
128,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,Likes,Does not like,Likes,Does not like,Does not like,type_freeSpirit
1584,Does not like,neutral,Likes,neutral,Likes,neutral,neutral,neutral,Likes,Does not like,Likes,Likes,type_player
82,neutral,neutral,Does not like,neutral,neutral,Likes,Does not like,neutral,Likes,neutral,neutral,neutral,type_achiever
3616,neutral,Likes,Likes,neutral,neutral,Does not like,Likes,Likes,Likes,Likes,Likes,Does not like,type_achiever
640,neutral,Does not like,Does not like,neutral,Likes,Likes,Likes,neutral,Likes,Likes,Likes,Likes,type_achiever
3347,neutral,Likes,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,Likes,Likes,neutral,type_philanthropist
678,Likes,Does not like,Likes,Likes,neutral,Likes,neutral,Likes,neutral,Likes,Likes,Likes,type_player
4363,Does not like,neutral,Likes,Likes,Does not like,Likes,Does not like,neutral,Likes,Does not like,Likes,Likes,type_player
1849,Does not like,Does not like,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,Likes,Likes,type_player
3117,neutral,Does not like,Likes,Likes,Likes,neutral,Likes,Does not like,neutral,Likes,Likes,neutral,type_philanthropist
1523,Does not like,neutral,neutral,Likes,Does not like,neutral,Does not like,neutral,Likes,neutral,neutral,Does not like,type_achiever
4439,Likes,Does not like,Does not like,neutral,Likes,neutral,Does not like,Does not like,neutral,Does not like,neutral,Likes,type_player
3052,neutral,Does not like,Likes,Does not like,Likes,Likes,Likes,Does not like,Does not like,Does not like,neutral,neutral,type_freeSpirit
2011,Likes,neutral,Likes,Does not like,neutral,Does not like,Likes,neutral,neutral,neutral,Likes,Likes,type_player
4746,Likes,neutral,Likes,Does not like,Likes,Likes,Does not like,Likes,Likes,neutral,Does not like,neutral,type_freeSpirit
1379,Does not like,Does not like,Likes,Does not like,Does not like,Likes,Likes,neutral,Likes,neutral,Does not like,Likes,type_achiever
4177,neutral,Likes,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,neutral,Does not like,Does not like,type_disruptor
4156,Likes,Does not like,neutral,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,Does not like,neutral,type_socializer
1347,Likes,Likes,neutral,Likes,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,Likes,type_socializer
1034,Likes,Likes,Likes,Likes,Does not like,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,type_socializer
2778,neutral,neutral,Does not like,neutral,Does not like,neutral,Likes,Does not like,Likes,neutral,neutral,neutral,type_achiever
3610,Likes,Likes,Does not like,Likes,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,neutral,type_socializer
2417,Likes,neutral,Likes,Does not like,Does not like,neutral,neutral,Does not like,Does not like,Likes,neutral,neutral,type_socializer
1449,Does not like,Does not like,Likes,Likes,Likes,Does not like,Likes,Likes,neutral,Likes,Likes,Does not like,type_disruptor
3710,Does not like,Likes,neutral,Does not like,neutral,Does not like,neutral,Likes,neutral,Does not like,neutral,neutral,type_disruptor
1231,Does not like,neutral,Does not like,Likes,Likes,neutral,neutral,neutral,Does not like,neutral,Likes,Does not like,type_freeSpirit
749,Likes,neutral,Does not like,neutral,Likes,neutral,Likes,Does not like,Likes,Likes,Likes,Likes,type_achiever
3032,neutral,neutral,Likes,Likes,Likes,Does not like,Likes,Does not like,neutral,Does not like,Does not like,Does not like,type_philanthropist
256,Likes,neutral,Likes,Does not like,neutral,neutral,neutral,Likes,Does not like,Likes,Does not like,Does not like,type_socializer
1167,Likes,neutral,Likes,Likes,Likes,Likes,Likes,Likes,neutral,neutral,Does not like,Does not like,type_disruptor
3963,neutral,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Likes,neutral,neutral,Does not like,Does not like,type_philanthropist
3782,Likes,neutral,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,type_player
4434,Does not like,Likes,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Does not like,neutral,Does not like,neutral,type_socializer
4368,Does not like,Likes,neutral,Does not like,Likes,Does not like,neutral,Likes,neutral,Likes,Does not like,Does not like,type_achiever
561,Does not like,Likes,neutral,Likes,neutral,Does not like,neutral,neutral,Does not like,Likes,Does not like,Likes,type_philanthropist
1260,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Likes,Does not like,Likes,Does not like,Does not like,neutral,type_achiever
4788,Does not like,neutral,Does not like,Does not like,Likes,neutral,Likes,neutral,neutral,Likes,neutral,neutral,type_achiever
21,neutral,Does not like,neutral,Likes,Likes,Likes,Does not like,Likes,neutral,Does not like,neutral,neutral,type_freeSpirit
2029,Does not like,neutral,neutral,neutral,neutral,neutral,Does not like,Does not like,Does not like,Does not like,neutral,Does not like,type_philanthropist
1810,Does not like,Does not like,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Likes,Does not like,Does not like,neutral,type_achiever
3414,Likes,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Likes,neutral,neutral,Likes,type_achiever
1881,Does not like,Likes,Does not like,Does not like,neutral,Does not like,Does not like,neutral,Likes,Does not like,neutral,Likes,type_player
685,Likes,Does not like,neutral,Does not like,Likes,Does not like,neutral,Does not like,Likes,Likes,Likes,neutral,type_achiever
4681,Does not like,Likes,Likes,neutral,Does not like,neutral,Does not like,neutral,Does not like,neutral,neutral,Likes,type_player
3343,neutral,Does not like,neutral,Likes,neutral,Likes,Likes,Likes,Likes,Likes,Likes,neutral,type_achiever
3902,Likes,Does not like,Does not like,Does not like,neutral,Likes,Likes,Does not like,neutral,Likes,Likes,neutral,type_achiever
962,neutral,neutral,Likes,neutral,Does not like,Likes,Does not like,Does not like,Does not like,Does not like,Likes,neutral,type_player
3216,neutral,Does not like,Does not like,Likes,Likes,Likes,Does not like,Does not like,Does not like,Does not like,Likes,Does not like,type_freeSpirit
2779,neutral,neutral,Does not like,neutral,neutral,neutral,Likes,neutral,neutral,neutral,Does not like,neutral,type_disruptor
3090,neutral,neutral,neutral,neutral,neutral,Likes,neutral,Does not like,Likes,Likes,Likes,Likes,type_achiever
1347,Likes,Likes,neutral,Likes,Likes,Does not like,neutral,Likes,neutral,Likes,neutral,Likes,type_socializer
2569,Likes,Likes,neutral,neutral,Likes,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,type_socializer
4075,Likes,Does not like,Does not like,Does not like,neutral,neutral,Likes,neutral,Does not like,Does not like,neutral,Likes,type_disruptor
2133,Does not like,Likes,Likes,Does not like,neutral,Does not like,Does not like,Does not like,Likes,Likes,Likes,Likes,type_achiever
2189,Likes,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,Likes,Likes,neutral,type_socializer
3560,Likes,Does not like,Does not like,Does not like,neutral,Does not like,Likes,Does not like,Does not like,neutral,neutral,Does not like,type_socializer
2529,Likes,neutral,Likes,Likes,neutral,neutral,neutral,Does not like,Does not like,Does not like,Does not like,neutral,type_philanthropist
2196,Does not like,Likes,neutral,neutral,neutral,Does not like,Likes,Does not like,Does not like,neutral,neutral,Likes,type_player
1335,Likes,Likes,Likes,Does not like,Likes,Does not like,Likes,Likes,neutral,neutral,Likes,neutral,type_socializer
672,neutral,neutral,neutral,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,Does not like,Does not like,type_socializer
3268,Likes,Likes,Does not like,Likes,Likes,neutral,Likes,Likes,Likes,Likes,Likes,Likes,type_socializer
281,Does not like,Likes,neutral,Does not like,Likes,Does not like,Likes,Likes,Does not like,neutral,Does not like,Likes,type_disruptor
4047,neutral,Likes,Does not like,Likes,neutral,Likes,Likes,neutral,Does not like,neutral,Does not like,Does not like,type_socializer
1800,Likes,neutral,neutral,Likes,neutral,Does not like,neutral,Does not like,Does not like,Does not like,Does not like,neutral,type_socializer
3673,Does not like,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,Likes,Likes,Does not like,Likes,type_achiever
3176,Does not like,neutral,Does not like,neutral,Does not like,Likes,neutral,neutral,Does not like,Does not like,Likes,Likes,type_player
3910,neutral,Does not like,Likes,neutral,neutral,Likes,Does not like,neutral,Does not like,neutral,neutral,Likes,type_player
3711,Does not like,Likes,Likes,Does not like,Does not like,neutral,Likes,neutral,Does not like,Likes,Does not like,Does not like,type_disruptor
1665,Likes,neutral,Does not like,Does not like,neutral,Does not like,Does not like,Does not like,neutral,neutral,neutral,neutral,type_socializer
946,Likes,Does not like,Likes,Does not like,Likes,Does not like,Likes,Likes,Does not like,Likes,Does not like,Likes,type_disruptor
1438,neutral,neutral,Does not like,neutral,neutral,Does not like,Likes,Likes,neutral,Does not like,Likes,Likes,type_disruptor
1346,Does not like,Does not like,Likes,neutral,Does not like,neutral,Likes,Does not like,Likes,Likes,Does not like,neutral,type_achiever
2031,neutral,neutral,Likes,Likes,Does not like,neutral,Does not like,Likes,neutral,Does not like,Does not like,neutral,type_philanthropist
80,Likes,Does not like,neutral,Does not like,Likes,Does not like,Does not like,neutral,Does not like,neutral,neutral,neutral,type_socializer
4970,neutral,Likes,neutral,Likes,Likes,neutral,Likes,Likes,neutral,neutral,Likes,neutral,type_disruptor
1757,Likes,Likes,Does not like,neutral,Does not like,neutral,Likes,Does not like,Does not like,Does not like,Does not like,Likes,type_socializer
4640,Does not like,Likes,Does not like,Likes,Does not like,Likes,Likes,neutral,Likes,neutral,neutral,Likes,type_achiever
2952,Does not like,Does not like,Likes,neutral,Likes,neutral,Likes,Does not like,neutral,neutral,Likes,Does not like,type_philanthropist
370,Likes,neutral,Likes,neutral,Likes,neutral,Does not like,Does not like,Likes,Does not like,Likes,Does not like,type_socializer
1320,Likes,neutral,Likes,neutral,Does not like,neutral,Does not like,Likes,Likes,Does not like,Does not like,Does not like,type_socializer
3780,Does not like,neutral,Likes,Does not like,neutral,neutral,neutral,Does not like,Does not like,neutral,neutral,neutral,type_player
3976,Likes,Does not like,neutral,neutral,Likes,Does not like,neutral,Does not like,Does not like,Likes,Likes,Likes,type_player
936,Does not like,Likes,Does not like,neutral,neutral,Likes,neutral,Likes,Does not like,Does not like,neutral,Does not like,type_disruptor
